key,flaming,smoldering,residual,total
rx;natural;western;spring;group-1;very dry;wet;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;very dry;wet;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;very dry;wet;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;very dry;wet;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;very dry;wet;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;very dry;wet;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;very dry;very wet;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;very dry;very wet;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;very dry;very wet;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;very dry;very wet;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;very dry;very wet;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;very dry;very wet;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very dry;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very dry;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very dry;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very dry;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very dry;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very dry;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;dry;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;dry;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;dry;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;dry;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;dry;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;dry;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moderate;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moderate;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moderate;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moderate;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moderate;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moderate;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moist;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moist;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moist;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moist;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moist;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;moist;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;wet;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;wet;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;wet;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;wet;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;wet;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;wet;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very wet;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very wet;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very wet;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very wet;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very wet;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;dry;very wet;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;very dry;very dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;very dry;dry,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;very dry;moderate,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;very dry;moist,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;very dry;wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;very dry;very wet,[0.],[0.],[0.],[0.]
rx;natural;western;spring;group-1;moderate;dry;very dry,[0.],[0.],[0.],[0.]
